day,sess,symbol,reason,source,intent
2015-04-10,pm,sh.600782,take_half,2015-04-10,profit
2015-04-17,am,sh.601718,take_half,2015-04-17,profit
2015-04-21,am,sh.601718,clear,2015-04-21,profit
2015-04-21,pm,sh.600569,take_half,2015-04-21,profit
2015-04-21,pm,sh.601718,clear,2015-04-21,risk
2015-04-23,am,sh.600569,clear,2015-04-23,profit
2015-06-01,pm,sh.600536,take_half,2015-06-01,profit
2015-06-02,am,sh.600536,take_half,2015-06-01,profit
2015-06-02,pm,sh.600782,clear,2015-06-02,profit
2015-06-03,am,sh.600782,clear,2015-06-02,risk
2015-06-17,am,sh.600536,protection,2015-06-17,risk
2015-12-14,am,sh.600036,stop,2015-12-14,risk
2016-01-05,pm,sz.002621,stop,2016-01-05,risk
2016-01-07,am,sh.600276,stop,2016-01-07,risk
2016-01-07,am,sh.603288,stop,2016-01-07,risk
2016-01-07,pm,sh.600276,stop,2016-01-07,risk
2016-01-07,pm,sh.603288,stop,2016-01-07,risk
2016-05-06,am,sh.600782,stop,2016-05-06,risk
2016-05-06,pm,sh.600395,stop,2016-05-06,risk
2016-05-09,pm,sh.600219,stop,2016-05-09,risk
2016-05-10,pm,sz.000036,account_trim,2016-04-29,risk
2016-05-18,pm,sz.000036,stop,2016-05-18,risk
2016-09-23,pm,sh.603268,stop,2016-09-23,risk
2016-09-26,am,sh.603268,stop,2016-09-23,risk
2016-09-26,pm,sh.603268,stop,2016-09-23,risk
2016-11-04,pm,sz.002032,stop,2016-11-04,risk
2016-11-30,am,sh.603898,stop,2016-11-30,risk
2016-11-30,am,sz.002491,stop,2016-11-30,risk
2016-12-06,am,sh.600228,account_trim,2016-11-30,risk
2016-12-07,am,sh.600228,take_half,2016-12-07,profit
2016-12-08,pm,sz.000002,stop,2016-12-08,risk
2016-12-16,pm,sh.600228,clear,2016-12-16,profit
2016-12-19,am,sh.600228,clear,2016-12-16,risk
2017-01-17,am,sz.000959,stop,2017-01-17,risk
2017-04-05,am,sz.002040,stop,2017-04-05,risk
2017-04-19,pm,sh.600638,stop,2017-04-19,risk
2017-09-19,am,sh.600773,take_half,2017-09-19,profit
2017-10-11,am,sz.000510,stop,2017-10-11,risk
2017-10-16,pm,sh.600773,protection,2017-10-16,risk
2017-12-06,pm,sh.600315,stop,2017-12-06,risk
2018-01-31,pm,sz.000735,protection,2018-01-31,risk
2018-02-01,am,sh.600179,stop,2018-02-01,risk
2018-02-01,am,sz.002596,stop,2018-02-01,risk
2018-02-01,pm,sh.600179,stop,2018-02-01,risk
2018-02-01,pm,sz.002596,stop,2018-02-01,risk
2018-02-02,am,sz.002596,stop,2018-02-01,risk
2018-02-02,pm,sz.002596,stop,2018-02-01,risk
2018-03-22,am,sh.600179,stop,2018-02-01,risk
2018-03-22,pm,sh.600179,stop,2018-02-01,risk
2018-03-23,am,sh.600179,stop,2018-02-01,risk
2018-03-23,pm,sh.600179,stop,2018-02-01,risk
2018-03-26,am,sh.600179,stop,2018-02-01,risk
2018-03-26,pm,sh.600179,stop,2018-02-01,risk
2018-06-13,am,sz.000576,stop,2018-06-13,risk
2018-10-31,pm,sz.000656,account_trim,2018-10-31,risk
2018-12-26,am,sz.000656,take_half,2018-12-26,profit
2018-12-26,pm,sz.000656,take_half,2018-12-26,profit
2019-03-27,am,sz.000656,clear,2019-03-27,profit
2019-03-27,pm,sz.000656,clear,2019-03-27,risk
2019-08-14,am,sz.002759,stop,2019-08-14,risk
2019-08-14,pm,sz.002759,stop,2019-08-14,risk
2019-08-15,am,sz.002759,stop,2019-08-14,risk
2019-08-15,pm,sz.002759,stop,2019-08-14,risk
2019-09-26,am,sh.603609,stop,2019-09-26,risk
2019-09-26,pm,sh.603609,stop,2019-09-26,risk
2020-01-22,pm,sh.601066,take_half,2020-01-22,profit
2020-02-03,am,sh.603078,protection,2020-02-03,risk
2020-02-03,pm,sh.603078,protection,2020-02-03,risk
2020-02-04,am,sh.603078,protection,2020-02-03,risk
2020-02-20,pm,sh.601066,clear,2020-02-20,profit
2020-07-09,am,sh.600051,account_trim,2020-06-30,risk
2020-07-10,pm,sh.600051,take_half,2020-07-10,profit
2020-07-13,pm,sh.600051,clear,2020-07-13,profit
2020-11-12,am,sz.002241,protection,2020-11-12,risk
2020-12-09,pm,sh.600165,stop,2020-12-09,risk
