day,sess,symbol,reason,source,intent
2019-01-31,am,sz.002299,take_half,2019-01-31,profit
2019-01-31,pm,sz.002299,take_half,2019-01-31,profit
2019-02-12,am,sz.002157,take_half,2019-02-12,profit
2019-02-12,pm,sz.002157,take_half,2019-02-12,profit
2019-02-14,am,sz.002299,time_exit,2019-02-14,profit
2019-02-14,am,sz.002916,time_exit,2019-02-14,profit
2019-02-14,pm,sz.002299,time_exit,2019-02-14,profit
2019-02-14,pm,sz.002916,time_exit,2019-02-14,profit
2019-02-15,am,sz.002024,time_exit,2019-02-15,profit
2019-02-15,am,sz.002157,time_exit,2019-02-15,profit
2019-02-15,am,sz.002916,time_exit,2019-02-14,profit
2019-02-15,pm,sz.002024,time_exit,2019-02-15,profit
2019-02-15,pm,sz.002157,time_exit,2019-02-15,profit
2019-02-18,am,sz.002475,time_exit,2019-02-18,profit
2019-02-18,pm,sz.002475,time_exit,2019-02-18,profit
2019-04-12,pm,sz.002099,stop,2019-04-12,risk
2019-04-15,am,sz.002099,stop,2019-04-12,risk
2019-04-25,pm,sz.000996,protection,2019-04-25,risk
2019-04-26,am,sz.000996,protection,2019-04-25,risk
2019-04-26,am,sz.002560,protection,2019-04-26,risk
2019-04-26,pm,sz.002560,protection,2019-04-26,risk
2019-04-29,am,sz.002560,protection,2019-04-26,risk
2019-04-29,am,sz.002575,stop,2019-04-29,risk
2019-04-29,pm,sz.002575,stop,2019-04-29,risk
2019-05-06,pm,sz.002882,account_trim,2019-04-30,risk
2019-05-07,am,sz.002882,account_trim,2019-04-30,risk
2019-05-15,am,sz.002882,time_exit,2019-05-15,profit
2019-05-15,pm,sz.002882,time_exit,2019-05-15,profit
2019-07-08,pm,sz.002592,account_trim,2019-06-28,risk
2019-07-09,am,sz.002592,account_trim,2019-06-28,risk
2019-07-12,am,sz.002299,account_trim,2019-06-28,risk
2019-07-12,pm,sz.002299,account_trim,2019-06-28,risk
2019-07-16,pm,sz.000912,account_trim,2019-06-28,risk
2019-07-17,am,sz.000912,account_trim,2019-06-28,risk
2019-07-31,am,sz.002182,account_trim,2019-07-31,risk
2019-07-31,pm,sz.002182,account_trim,2019-07-31,risk
2019-08-05,am,sz.002592,time_exit,2019-08-05,profit
2019-08-05,pm,sz.002592,time_exit,2019-08-05,profit
2019-08-06,am,sz.002592,time_exit,2019-08-05,profit
2019-08-08,am,sz.002182,time_exit,2019-08-08,profit
2019-08-08,pm,sz.002182,time_exit,2019-08-08,profit
2019-08-09,am,sz.002299,time_exit,2019-08-09,profit
2019-08-09,pm,sz.002299,time_exit,2019-08-09,profit
2019-08-13,am,sz.000912,time_exit,2019-08-13,profit
2019-08-13,pm,sz.000912,time_exit,2019-08-13,profit
2019-10-11,pm,sz.002299,account_trim,2019-09-30,risk
2019-10-14,am,sz.002299,account_trim,2019-09-30,risk
2019-10-15,pm,sz.002639,account_trim,2019-09-30,risk
2019-10-16,am,sz.002639,account_trim,2019-09-30,risk
2019-10-18,am,sz.002151,account_trim,2019-09-30,risk
2019-10-18,pm,sz.002151,account_trim,2019-09-30,risk
2019-10-23,am,sz.002318,stop,2019-10-23,risk
2019-10-23,pm,sz.002318,stop,2019-10-23,risk
2019-11-01,am,sz.002299,protection,2019-11-01,risk
2019-11-01,pm,sz.002299,protection,2019-11-01,risk
2019-11-04,am,sz.002299,protection,2019-11-01,risk
2019-11-12,am,sz.002639,time_exit,2019-11-12,profit
2019-11-12,pm,sz.002639,time_exit,2019-11-12,profit
2019-11-15,am,sz.002151,time_exit,2019-11-15,profit
2019-11-15,pm,sz.002151,time_exit,2019-11-15,profit
2020-01-20,am,sz.002299,stop,2020-01-20,risk
2020-01-20,pm,sz.002299,stop,2020-01-20,risk
2020-01-21,am,sz.002299,stop,2020-01-20,risk
2020-01-21,pm,sz.002299,stop,2020-01-20,risk
2020-01-22,am,sz.002299,stop,2020-01-20,risk
2020-01-22,pm,sz.002182,account_trim,2019-12-31,risk
2020-01-22,pm,sz.002489,account_trim,2019-12-31,risk
2020-01-23,am,sz.002182,account_trim,2020-01-23,risk
2020-01-23,am,sz.002489,account_trim,2020-01-23,risk
2020-01-23,pm,sz.002182,account_trim,2020-01-23,risk
2020-01-23,pm,sz.002903,account_trim,2020-01-23,risk
2020-02-03,am,sz.002182,stop,2020-02-03,risk
2020-02-03,am,sz.002489,stop,2020-02-03,risk
2020-02-03,am,sz.002903,stop,2020-02-03,risk
2020-02-03,pm,sz.002182,stop,2020-02-03,risk
2020-02-03,pm,sz.002489,stop,2020-02-03,risk
2020-02-03,pm,sz.002903,stop,2020-02-03,risk
2020-02-04,am,sz.002489,stop,2020-02-03,risk
2020-02-04,am,sz.002903,stop,2020-02-03,risk
2020-02-20,pm,sz.002184,account_trim,2020-01-23,risk
2020-02-21,am,sz.002184,account_trim,2020-01-23,risk
2020-02-24,am,sz.002184,take_half,2020-02-24,profit
2020-02-24,pm,sz.002184,take_half,2020-02-24,profit
2020-02-25,pm,sz.002184,clear,2020-02-25,profit
2020-02-26,am,sz.002184,clear,2020-02-25,risk
2020-04-02,pm,sz.000813,account_trim,2020-03-31,risk
2020-04-03,am,sz.000813,account_trim,2020-03-31,risk
2020-04-03,pm,sz.000813,account_trim,2020-03-31,risk
2020-04-10,pm,sz.002605,account_trim,2020-03-31,risk
2020-04-13,am,sz.002409,stop,2020-04-13,risk
2020-04-13,am,sz.002605,account_trim,2020-03-31,risk
2020-04-13,pm,sz.002409,stop,2020-04-13,risk
2020-04-14,pm,sz.002258,account_trim,2020-03-31,risk
2020-04-15,am,sz.002258,account_trim,2020-03-31,risk
2020-04-17,pm,sz.002312,account_trim,2020-03-31,risk
2020-04-20,am,sz.002312,account_trim,2020-03-31,risk
2020-05-06,am,sz.000813,time_exit,2020-05-06,profit
2020-05-06,pm,sz.000813,time_exit,2020-05-06,profit
2020-05-13,am,sz.002605,time_exit,2020-05-13,profit
2020-05-13,pm,sz.002605,time_exit,2020-05-13,profit
2020-05-14,am,sz.002605,time_exit,2020-05-13,profit
2020-05-15,am,sz.002258,time_exit,2020-05-15,profit
2020-05-15,pm,sz.002258,time_exit,2020-05-15,profit
2020-05-20,am,sz.002312,time_exit,2020-05-20,profit
2020-05-20,pm,sz.002312,time_exit,2020-05-20,profit
2020-06-11,pm,sz.002384,account_trim,2020-05-29,risk
2020-06-12,am,sz.002384,account_trim,2020-05-29,risk
2020-07-06,pm,sz.002585,account_trim,2020-06-30,risk
2020-07-06,pm,sz.002702,account_trim,2020-06-30,risk
2020-07-07,am,sz.002585,account_trim,2020-06-30,risk
2020-07-07,am,sz.002702,account_trim,2020-06-30,risk
2020-07-09,am,sz.002585,take_half,2020-07-09,profit
2020-07-09,pm,sz.002585,take_half,2020-07-09,profit
2020-07-09,pm,sz.002709,account_trim,2020-06-30,risk
2020-07-10,am,sz.002709,account_trim,2020-06-30,risk
2020-07-13,am,sz.002585,clear,2020-07-13,profit
2020-07-13,am,sz.002384,time_exit,2020-07-13,profit
2020-07-13,pm,sz.002585,clear,2020-07-13,risk
2020-07-13,pm,sz.002384,time_exit,2020-07-13,profit
2020-07-14,am,sz.002585,clear,2020-07-13,risk
2020-07-14,am,sz.002384,time_exit,2020-07-13,profit
2020-07-16,pm,sz.002030,account_trim,2020-06-30,risk
2020-07-17,am,sz.002030,account_trim,2020-06-30,risk
2020-07-20,am,sz.002049,account_trim,2020-06-30,risk
2020-07-20,pm,sz.002049,account_trim,2020-06-30,risk
2020-07-24,am,sz.002709,stop,2020-07-24,risk
2020-07-24,pm,sz.002709,stop,2020-07-24,risk
2020-07-31,pm,sz.002030,account_trim,2020-07-31,risk
2020-08-03,am,sz.002030,take_half,2020-08-03,profit
2020-08-03,am,sz.002702,time_exit,2020-08-03,profit
2020-08-03,pm,sz.002030,take_half,2020-08-03,profit
2020-08-03,pm,sz.002702,time_exit,2020-08-03,profit
2020-08-13,am,sz.002030,time_exit,2020-08-13,profit
2020-08-13,am,sz.002049,time_exit,2020-08-13,profit
2020-08-13,pm,sz.002030,time_exit,2020-08-13,profit
2020-08-13,pm,sz.002049,time_exit,2020-08-13,profit
2020-11-05,am,sz.002594,clear,2020-11-05,profit
2020-11-05,pm,sz.002594,clear,2020-11-05,risk
2020-11-06,am,sz.002488,time_exit,2020-11-06,profit
2020-11-06,pm,sz.002488,time_exit,2020-11-06,profit
2020-11-11,am,sz.002919,stop,2020-11-11,risk
2020-11-11,pm,sz.002919,stop,2020-11-11,risk
2020-11-12,am,sz.002919,stop,2020-11-11,risk
2020-11-12,am,sz.002571,time_exit,2020-11-12,profit
2020-11-12,pm,sz.002571,time_exit,2020-11-12,profit
