day,sess,symbol,reason,source,intent
2019-07-23,am,sh.600281,stop,2019-07-23,risk
2019-07-25,am,sh.600546,take_half,2019-07-25,profit
2019-07-25,pm,sh.600546,take_half,2019-07-25,profit
2019-07-26,am,sh.600546,take_half,2019-07-25,profit
2019-08-06,am,sz.000672,stop,2019-08-06,risk
2019-08-20,am,sh.601009,stop,2019-08-20,risk
2019-09-09,am,sz.002299,stop,2019-09-09,risk
2019-09-26,am,sh.600316,stop,2019-09-26,risk
2019-09-26,am,sh.603609,stop,2019-09-26,risk
2019-09-26,pm,sh.603609,stop,2019-09-26,risk
2019-09-27,am,sh.603222,stop,2019-09-27,risk
2019-09-27,pm,sh.603222,stop,2019-09-27,risk
